annee,delegation,nbre_huileries,capacite_huileries_t_j,region_id,matched_region_ar,matched_region_fr
2024,قابس المدينة,NA,NA,NA,NA,NA
2024,قابس الجنوبية,2,70,1157,صوغاس الجنوبية,soughas aljnoubia
2024,قابس الغربية,NA,NA,134,صفاقس الغربية,sfaqs alghrbia
2024,غنوش,NA,NA,615,غنوش,ghnouch
2024,المطوية,4,100,163,المطوية,almtouia
2024,منزل الحبيب,NA,NA,748,منزل الحبيب,mnzl alhbib
2024,الحامة,7,64,47,الحامة,alhama
2024,مطماطة الجديدة,6,34,82,مطماطة الجديدة,mtmata aljdida
2024,مطماطة القديمة,9,4,2,مطماطة القديمة,mtmata alqdima
2024,مارث,14,209,85,مارث,marth
2024,دخيلة توجان,12,7,554,دخيلة توجان,dkhila toujan
2024,المجموع,54,488,NA,NA,NA
